,image_name,Subset,image_url,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL,Rotation
0,1a76122aab7176d8,train,https://c1.staticflickr.com/9/8683/15870199465_ace3a06527_o.jpg,https://www.flickr.com/photos/airresources/15870199465,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/airresources/,California Air Resources Board,IMG_0362,6182333,xuims+T3YIUcNoJV4cv6uw==,https://c8.staticflickr.com/9/8683/15870199465_ac4dd6c710_z.jpg,0.0
1,5accc0a51f39559f,train,https://c8.staticflickr.com/1/31/41805066_c5def00ed9_o.jpg,https://www.flickr.com/photos/buzzwax/41805066,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/buzzwax/,M Liao,Expo 2005 Aichi,95663,f7O54tngqrit0zoPlGjxgw==,,
2,f607867752dd80e9,train,https://c2.staticflickr.com/5/4120/4824849591_3be7c0d6df_o.jpg,https://www.flickr.com/photos/alterna2/4824849591,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/alterna2/,Alterna2 http://www.alterna2.com,Kings of Convenience,1841111,I0lzSAwE1xwQH/0MU67MKQ==,https://c5.staticflickr.com/5/4120/4824849591_75064f6434_z.jpg,0.0
3,47df981ba82e224c,train,https://c5.staticflickr.com/3/2465/3704365888_9927840ba5_o.jpg,https://www.flickr.com/photos/markhillary/3704365888,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/markhillary/,Mark Hillary,No more Mojitos at Coffee Republic,661646,yaUglEf5agULSvwuvOUzYA==,https://c2.staticflickr.com/3/2465/3704365888_c18516cdc9_z.jpg,0.0
4,aff1b59bccb0f6cb,train,https://c4.staticflickr.com/1/121/293808783_2133ea355b_o.jpg,https://www.flickr.com/photos/lazymonkey/293808783,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/lazymonkey/,Bess Sadler,100_4999.JPG,1183452,YkfvVtwa/nQkruYZeloQMQ==,https://c4.staticflickr.com/1/121/293808783_2133ea355b_z.jpg,0.0
5,493451d242a4db07,train,https://farm8.staticflickr.com/5579/14767223854_bbca795bae_o.jpg,https://www.flickr.com/photos/editor/14767223854/in/photostream/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/editor/,Bart Everson,Kitchen Witch,3444217,y6kXsZjoP/25l9jsooqO3g==,https://c4.staticflickr.com/6/5579/14767223854_73b36dbc9b_z.jpg,0.0
6,52c3df5c80e17b7d,train,https://c6.staticflickr.com/6/5063/5587371431_1baa54fe77_o.jpg,https://www.flickr.com/photos/randychiu/5587371431,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/randychiu/,randychiu,WonderCon Main Hall 2011,1067958,GApxFjTq47So/cPriYVkuw==,https://c5.staticflickr.com/6/5063/5587371431_8b6243ae9c_z.jpg,0.0
7,d7f6bd8eaaa895e8,train,https://c1.staticflickr.com/1/184/471392920_8b67974f67_o.jpg,https://www.flickr.com/photos/88rabbit/471392920,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/88rabbit/,Anthony Patterson,Misty Day,201866,QjKt6yEZmDEAN2mYH3PdCw==,https://c5.staticflickr.com/1/184/471392920_38683ce38c_z.jpg,0.0
8,073af2b33d6dae8d,train,https://c6.staticflickr.com/6/5498/11823583413_09955a2231_o.jpg,https://www.flickr.com/photos/myrtleavenue/11823583413,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/myrtleavenue/,Myrtle Avenue Brooklyn Partnership,Patchwork (55),1103183,3JcYpvfRzW/K2Dlxmux99A==,https://c8.staticflickr.com/6/5498/11823583413_7debb7ccd9_z.jpg,0.0
9,93b47a2b2ba54ff0,train,https://farm1.staticflickr.com/7076/7335954754_291ae86eb8_o.jpg,https://www.flickr.com/photos/soldiersmediacenter/7335954754,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/soldiersmediacenter/,The U.S. Army,Paying respects,1255748,zrwZ6Aw+zn+HuLhAVXixnw==,https://c2.staticflickr.com/8/7076/7335954754_e9cfb7af5c_z.jpg,0.0
10,0d38657e9e419712,train,https://farm3.staticflickr.com/6085/6099329556_5e26f24b25_o.jpg,https://www.flickr.com/photos/sidibousaid/6099329556,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/sidibousaid/,Simon Harrod,With light comes clarity./ Con la luz viene la claridad.,3120282,cE3Z7aCwwwTxlHpTNvCakQ==,https://c4.staticflickr.com/7/6085/6099329556_78874f33f8_z.jpg,0.0
11,571c73891600861d,train,https://c6.staticflickr.com/4/3067/5872019751_d2539032ca_o.jpg,https://www.flickr.com/photos/alumroot/5872019751,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/alumroot/,Alan Wolf,Kate Borowske,5139727,KtmX39MZ3Vj7WQRUOI2VZQ==,https://c8.staticflickr.com/4/3067/5872019751_d97bd5c9da_z.jpg,0.0
12,eaa31ab809d72b59,train,https://c2.staticflickr.com/6/5707/21149300625_d1d5e23730_o.jpg,https://www.flickr.com/photos/martinalonsophotography/21149300625,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/martinalonsophotography/,Martin Alonso,Mexico Waves Crash Surf kids (1 of 1),12082210,7OgMdIXcqsyd7R50BD5WJg==,https://c7.staticflickr.com/6/5707/21149300625_0c568a0eae_z.jpg,0.0
13,bb3e85963dc57b37,train,https://farm8.staticflickr.com/8519/8667131387_94b12aa8ee_o.jpg,https://www.flickr.com/photos/binaryape/8667131387,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/binaryape/,Pete Birkinshaw,Untitled,3971332,Edwwt5Mx42TkNERpnJpBOA==,https://c1.staticflickr.com/9/8519/8667131387_3d1dc85ac8_z.jpg,0.0
14,cba9c87b13a7f229,train,https://c2.staticflickr.com/4/3737/9526169946_72b7ccaaf0_o.jpg,https://www.flickr.com/photos/22738816@N07/9526169946,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/22738816@N07/,Doug Coldwell,moms birthday 016,2934748,QzbzzVvOYgvQXJ+7z/4SoQ==,https://c8.staticflickr.com/4/3737/9526169946_22610a3a4d_z.jpg,0.0
15,25762b3bca3372c0,train,https://farm1.staticflickr.com/152/351839694_c94ef7b231_o.jpg,https://www.flickr.com/photos/mrwynd/351839694,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/mrwynd/,mrwynd,matty - SCAVENGER HUNT 015 (Small),24348,lDon5cibQ7o5l2kC3CdEEQ==,https://c8.staticflickr.com/1/152/351839694_c94ef7b231_z.jpg?zz=1,0.0
16,04bb2ce5401f9adc,train,https://c5.staticflickr.com/1/3/3674804_70c45e028a_o.jpg,https://www.flickr.com/photos/tauntingpanda/3674804,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/tauntingpanda/,ben britten,shoveling snow,1988442,rXNpRzbHN+A+Mz01YOsDkg==,https://c5.staticflickr.com/1/3/3674804_70c45e028a_z.jpg,0.0
17,b321500f1e945322,train,https://farm3.staticflickr.com/8348/8206623690_6de47a34b2_o.jpg,https://www.flickr.com/photos/edcafenet/8206623690,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/edcafenet/,edcafenet,Black Shinobi,4575596,ralDT6TXHL+u8h7T5P2TkA==,https://c7.staticflickr.com/9/8348/8206623690_999c3261d2_z.jpg,270.0
18,0eff9cc4da96bb03,train,https://farm4.staticflickr.com/4099/4741536685_7eb722536e_o.jpg,https://www.flickr.com/photos/codepo8/4741536685,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/codepo8/,Christian Heilmann,Penny arcade machines,2491279,yy0ZJ+xJ7e6awziS8VSXdg==,https://c8.staticflickr.com/5/4099/4741536685_b8cfeb0872_z.jpg,270.0
19,75cedc4e3e41ceda,train,https://c3.staticflickr.com/4/3720/9094259644_8a3b4a869e_o.jpg,https://www.flickr.com/photos/boblinsdell/9094259644,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/boblinsdell/,Robert Linsdell,"American Civil War Reenactment, Hale Farm & Village, August 2011",103943,ygNJphz9smNwFpBL1N3xIA==,https://c8.staticflickr.com/4/3720/9094259644_49f2fea251_z.jpg,
20,4ec6c0903971f4c4,train,https://farm5.staticflickr.com/6155/6186086661_20e7bab4aa_o.jpg,https://www.flickr.com/photos/geertschneider/6186086661,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/geertschneider/,Geert Schneider,Carl Winther Trio / Johan Kolsut,7062385,2dfbXl6aXtwOzOZi+QhWQw==,https://c6.staticflickr.com/7/6155/6186086661_e35cacc47e_z.jpg,0.0
21,314564d99582b4a3,train,https://farm4.staticflickr.com/3106/2845455140_7bbf2b899e_o.jpg,https://www.flickr.com/photos/rogerimp/2845455140,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/rogerimp/,Roger Braunstein,Sarah's Hebrew Diet Coke Ad,1503772,xJyMeXPbyVl9tKftqb/kTA==,https://c2.staticflickr.com/4/3106/2845455140_7a6de65001_z.jpg?zz=1,
22,c0e74c2aae1c7e9a,train,https://c3.staticflickr.com/3/2508/4128310413_57d59f32de_o.jpg,https://www.flickr.com/photos/geertschneider/4128310413,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/geertschneider/,Geert Schneider,desert look,3550359,L2c5cTdyDMpr+2XfgfR4RQ==,https://c2.staticflickr.com/3/2508/4128310413_6b5da4b422_z.jpg,0.0
23,fcaa9c7e1b9247ff,train,https://c8.staticflickr.com/6/5211/5726330261_7afd544d72_o.jpg,https://www.flickr.com/photos/silvercirclemovie/5726330261,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/silvercirclemovie/,Lineplot Productions,Shoot a storm trooper for charity,1479048,D952RRNTenlNQgN8PLqk5Q==,https://c1.staticflickr.com/6/5211/5726330261_f2c1d589ec_z.jpg,0.0
24,fba269c883060007,train,https://farm8.staticflickr.com/7451/9666083342_135fb63dd9_o.jpg,https://www.flickr.com/photos/camay/9666083342/,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/camay/,camay,1055460292.jpg,103939,tn3+/CcXp0mS9nw35nVxFQ==,https://c5.staticflickr.com/8/7451/9666083342_fde58d17a8_z.jpg,0.0
25,ed9d7938ba998309,train,https://c2.staticflickr.com/1/34/73282742_fce52c2d05_o.jpg,https://www.flickr.com/photos/perspective/73282742,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/perspective/,Elvert Barnes,72.OH-HO-05.Opening.UPA.WDC.10dec05,379309,poXr7hhXy38KDDRd8qDKLw==,https://c3.staticflickr.com/1/34/73282742_fce52c2d05_z.jpg,0.0
