mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
6.39,0.59,6.139,0.385,1.284,0.421,8.23,16.625,0.0
5.98,0.595,6.177,0.354,1.263,0.434,8.228,16.535,0.0
7.28,0.598,5.41,0.39,1.235,0.396,7.431,16.35,0.0
7.02,0.57,5.019,0.4,1.264,0.493,7.176,16.62,0.0
6.71,0.568,4.583,0.394,1.178,0.465,6.619,16.393,0.0
6.85,0.6,4.737,0.409,1.094,0.414,6.654,17.032,0.0
7.91,0.562,4.171,0.322,1.084,0.47,6.046,16.531,0.0
7.01,0.585,3.631,0.425,1.044,0.438,5.538,16.338,0.0
7.58,0.57,4.184,0.371,1.072,0.492,6.119,16.179,0.0
8.87,0.55,3.797,0.345,1.129,0.481,5.752,16.294,0.0
8.24,0.575,4.381,0.375,1.052,0.438,6.246,16.235,0.0
8.45,0.612,4.177,0.393,1.009,0.409,5.988,16.057,0.0
8.1,0.58,3.65,0.306,0.997,0.468,5.422,16.491,0.0
8.06,0.612,3.742,0.376,1.031,0.426,5.575,16.425,0.0
8.82,0.612,3.443,0.377,0.975,0.422,5.218,16.147,0.0
8.72,0.612,3.474,0.395,0.93,0.425,5.225,16.578,0.0
9.6,0.605,3.634,0.319,0.986,0.433,5.371,16.19,0.0
8.75,0.62,3.954,0.317,0.91,0.412,5.594,16.592,0.0
10.284,0.542,3.098,0.383,1.055,0.455,4.991,16.373,0.0
9.505,0.562,3.557,0.348,0.99,0.435,5.33,16.411,0.0
9.842,0.61,3.618,0.343,0.942,0.381,5.283,16.491,0.0
9.43,0.618,3.499,0.359,0.892,0.427,5.177,16.623,0.0
9.3,0.618,3.454,0.335,0.862,0.436,5.087,16.41,0.0
9.18,0.598,3.197,0.353,0.929,0.445,4.924,16.824,0.0
8.94,0.635,3.164,0.307,0.906,0.411,4.789,16.805,0.0
11.31,0.605,2.32,0.308,0.963,0.451,4.043,16.728,0.0
10.39,0.6,2.985,0.354,0.93,0.41,4.679,16.602,0.0
11.59,0.608,2.868,0.287,0.892,0.419,4.466,16.696,0.0
11.584,0.578,3.315,0.29,0.927,0.404,4.936,16.473,0.0
9.54,0.675,2.89,0.425,0.825,0.395,4.535,16.382,0.0
10.23,0.605,2.993,0.378,0.911,0.383,4.664,16.39,0.0
10.48,0.628,2.646,0.341,0.845,0.363,4.195,16.369,0.0
9.82,0.632,2.963,0.351,0.879,0.354,4.547,16.382,0.0
10.83,0.628,2.819,0.311,0.911,0.403,4.445,16.581,0.0
11.455,0.62,2.953,0.325,0.954,0.386,4.619,16.288,0.0
10.65,0.61,2.681,0.37,0.954,0.429,4.434,16.465,0.0
10.17,0.628,2.559,0.349,0.864,0.389,4.162,16.458,0.0
11.178,0.608,2.519,0.372,0.903,0.428,4.221,17.072,0.0
11.228,0.615,2.325,0.308,0.874,0.402,3.909,16.654,0.0
9.72,0.645,1.951,0.345,0.83,0.369,3.494,16.349,0.0
